cvcl	cell_line	category	lineage	subtype	lineage_source	n_experiments	identity	data_status	cn_status	cn_from	tier	include	exclude_reason
CVCL_0418	MDA-MB-453	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	7	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0419	MDA-MB-468	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	6	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1408	MFM-223	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	3	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP,COSMIC	B	1	
CVCL_5215	PMC42	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	cellosaurus_ncit	1	Cellosaurus-only	needs pull	lookup (other DB)	Progenetix	B	1	
CVCL_0033	SK-BR-3	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	6	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_3421	SUM 102PT	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_5589	SUM 1315M02	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_3422	SUM 149PT	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	11	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_5423	SUM 159PT	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	42	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_5591	SUM 185PE	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	1	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_5594	SUM 229PE	Cancer cell line	Breast	Invasive Breast Carcinoma	depmap	23	confirmed (Cellosaurus+DepMap)	needs pull	lookup (other DB)	DepMap-merged,Progenetix,CMP	B	1	
CVCL_3424	SUM 44PE	Cancer cell line	Breast	Breast Invasive Lobular Carcinoma	depmap	3	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0553	T-47D	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	70	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_1781	UACC-812	Cancer cell line	Breast	Breast Invasive Lobular Carcinoma	depmap	2	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
CVCL_0588	ZR-75-1	Cancer cell line	Breast	Breast Invasive Ductal Carcinoma	depmap	10	confirmed (Cellosaurus+DepMap)	in atlas	have (DepMap WGS)	DepMap WGS	A	1	
